Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Dendritic cells resting	Dendritic cells activated
CA8	17.99617948	18.54386568	13.31718235	19.53973873	16.42178108	15.32647154	200.6236992	43.54005187	62.32018113	14.15699793	14.46846851	14.00907196	11.51310402	32.21701547
CAMP	32.24981999	29.66511957	76.14506063	148.5655127	101.7397638	32.63242659	121.3399664	33.09276144	40.18619522	1655.267194	130.333791	126.178855	94.82321767	41.52861367
CASP5	16.22879037	25.41117138	20.72194816	11.62316713	9.073509293	7.44133492	44.6725684	117.8506598	13.78588342	35.16192527	57.15128061	120.1766089	21.43059083	52.52248298
CCDC102B	7.52422977	6.165616203	17.7200176	9.251047619	13.31038127	1.761755136	6.133755741	5.824258226	17.08721371	21.31213885	3.261428192	5.674857963	146.6828382	8.571628691
CCL1	9.151450435	10.41823708	10.7845404	22.5839555	9.669430796	15.97030854	12.61652384	9.104707458	11.24956199	11.53343942	29.60547378	11.12331494	10.50372943	366.165883
CCL13	195.3507704	171.4302952	120.948249	41.65976896	118.4029297	66.04578922	12.70708557	75.51129905	72.33766521	95.02050924	96.66643251	87.08769892	3717.503489	5513.790278
CCL14	70.01715851	58.91915912	71.06446098	31.21088513	91.76959128	77.60907212	33.08789345	152.0417291	152.9884125	67.54459099	72.99488239	105.0702474	283.0117609	172.6730315
CCL17	42.21616032	58.99587921	78.50428281	19.48358652	30.30478142	170.3383554	38.03375116	393.9264602	59.77162048	75.01179342	38.77174192	67.76049878	2541.410819	6414.906541
CCL18	19.93877192	21.68816978	35.31761702	24.35123147	12.82579482	81.202364	31.27670734	20.56828687	109.4946381	39.1384328	79.51319871	40.68134871	1697.959294	1749.786143
CCL19	78.52160611	139.7443318	77.62297831	36.87140683	60.92923205	89.77834495	48.98562369	34.99339888	21.17848138	109.9231796	146.4600699	115.5525527	170.8471166	3048.871233
CCL20	39.50876033	26.99246182	61.54110043	13.08202394	29.40136468	1562.138826	188.6755023	12.36926288	18.13033499	18.43517451	20.31818041	18.85113165	14.52087814	1509.776445
CCL22	46.07125476	31.32507211	24.03529684	39.42959137	27.87853733	28.17031886	24.33306321	560.1844434	23.02227816	26.9167755	76.9655571	33.117333	4123.086134	30950.32751
CCL23	19.74347261	16.59253631	15.31837372	19.69815613	27.6569304	5.971548735	13.44126834	70.65994811	22.99098158	64.61571582	43.88212709	37.98614378	321.7810006	377.5397731
CCL4	1661.464071	817.4816647	2564.294556	270.8722361	442.4757485	11191.41447	356.4726389	481.2791164	8310.145807	11202.80591	38944.01868	3000.888772	2072.163482	4282.933369
CCL5	19.56849893	88.23956549	11434.94887	189.4932768	3143.971755	1850.010235	69.75841522	171.0009164	19080.91475	17238.65692	11744.53738	102.8425968	59.29347738	6507.212063
CCL7	80.54919503	45.94840622	54.29720304	48.24358597	38.5055913	22.95842907	53.34937988	55.4673111	74.50448787	33.53994623	21.32839265	36.20654238	24.2434917	72.95235312
CCL8	229.3383995	97.02939896	35.05420149	31.42579269	64.22389989	82.98777026	40.64411705	77.90022347	105.8701548	49.61858818	49.04713211	126.7672449	85.43977671	1523.493213
CCND2	299.0433892	447.6145479	682.2085787	363.696915	1162.572673	2369.155331	460.6314841	1118.95465	330.7988708	1065.420393	6016.733404	196.775837	428.1711403	308.3936468
CCR10	52.98873326	92.31546536	130.744128	64.30250203	282.9223926	67.60022415	100.7324553	54.44144843	50.76403215	81.81890669	50.05941379	68.90758909	54.79311967	76.23824701
CCR2	420.0370653	360.0216463	312.6203444	64.9467235	756.5516447	297.1447653	95.47693449	258.8984705	1151.152529	92.11909435	97.00535628	2908.726283	115.7528109	117.1398876
CCR3	135.0222303	31.14530202	51.21539926	12.07805481	88.58205857	53.98997768	20.4848163	260.9680321	37.49630312	128.2007913	81.07845472	83.4012701	83.69246929	66.10168276
CCR5	98.76355416	93.00951267	992.0442583	75.4038863	462.1524294	423.3973006	530.4856724	503.0168012	2444.179396	578.4832233	1425.773385	489.987509	1515.597414	624.5662045
CCR6	327.4987971	331.0843447	173.0896162	69.04044011	486.3438163	155.6717837	151.0907582	101.9853805	262.8582877	46.43838291	122.9424087	29.59035049	30.03002814	42.18974701
CCR7	3811.326733	1939.045683	5074.201816	8788.597127	2693.556404	2885.120974	1858.531026	6339.949771	490.8051753	672.4665585	482.4429323	165.2353496	290.530233	14223.15516
CD160	446.1294222	281.8251718	1145.34982	114.9678358	125.3243228	159.1785523	73.65633284	249.1195624	3283.208487	2499.533496	688.496341	93.85626167	71.95840084	78.86266197
CD180	1502.166724	2247.885466	78.77964471	23.15489547	37.96319899	83.10064157	48.86157308	179.2163466	131.4034549	37.04952547	30.94941671	576.4469199	108.5104996	93.2676663
CD19	7315.689158	5295.93686	132.2416591	128.2039752	55.61361754	93.42592839	148.8556127	217.5476871	147.7927672	90.4860579	98.40190703	164.9026221	122.9982229	161.3344231
CD1A	1294.174017	818.7834717	208.3949257	135.3722907	191.4053509	139.7165139	156.4816454	511.8243369	265.2998497	152.5357864	145.9248694	312.0225877	14772.22773	1315.229715
CD1B	1351.157456	338.3307439	55.67758898	22.28653167	192.5532686	45.50400457	21.53089091	52.94106332	252.4165956	152.9052072	109.5758377	198.2817057	15969.53236	2349.595156
CD1C	1349.225244	2899.133023	44.14189025	77.23468675	204.5100438	33.58018677	40.92391452	16.8510481	50.88172305	36.32319474	30.67802465	526.834127	9523.260691	1002.723527
CD1D	243.5748238	416.3030749	16.92273192	30.19763591	10.79075018	6.357029724	48.61705515	52.42348265	288.6345968	16.24955986	17.37783232	2785.253606	90.82975345	51.31081795
CD1E	53.25152761	49.96271254	52.56295023	80.73544092	55.87769713	33.11414254	61.98706623	75.82638966	32.86570534	53.71078497	34.07711005	91.10615096	8828.20894	1421.6131
CD2	419.4350192	409.5822139	8182.951228	8002.722844	9578.936337	7866.426688	14057.43026	11226.69889	5897.393241	6247.906848	3097.47128	222.357789	187.6124847	146.9688776
CD209	68.81156687	26.73032883	21.6089747	99.59399622	16.53368601	21.60591559	24.14453092	154.8153429	116.6935326	42.60499233	31.86953296	84.17376676	2461.153302	228.3870623
CD22	3293.629651	1803.150148	37.47048645	53.38200923	54.37437693	40.69767509	45.41225697	127.573896	80.6118876	41.94230156	32.52035914	31.15232509	154.8175221	36.801049
CD244	59.70898915	38.51177638	623.6947469	174.4389829	69.11006059	23.25507848	123.3772483	85.18075466	1115.507714	1823.542464	1702.765135	828.4298346	23.85077614	18.38716012
CD247	23.66779296	53.69027623	5508.526368	7038.536622	5318.708728	2156.371127	5302.661793	9743.994501	9129.432322	16099.47966	15108.26954	35.27406041	43.67897681	32.48553108
CD27	388.8197482	4138.587476	5506.313911	4042.377012	4188.175594	1125.960048	5710.976341	6979.725316	2288.252945	196.4705551	127.3316351	136.4091916	125.1576644	111.9872056
CD28	170.6541081	183.9284292	527.4027958	462.9998637	961.774233	2294.871098	1326.705724	1614.199583	524.1543544	77.96041968	71.78378935	79.14901833	87.37183838	66.03630917
CD300A	30.69853755	77.94519325	738.0313132	193.2963626	414.3723032	54.40588795	46.81934	84.09971859	2268.609727	5340.892712	4668.361682	2187.807203	59.48756952	26.19487356
CD33	25.374709	16.71748672	21.33635265	17.83717204	11.69136762	10.49185361	16.00738743	55.45160433	146.4620047	13.328498	14.20413975	1494.400184	731.6958076	15.47840391
CD37	13247.62405	11610.29035	4472.430176	2997.964479	4287.536344	865.4159386	3602.317619	4831.809557	1823.236151	2090.502205	1604.568691	4508.112105	408.0617171	99.31070429
CD38	588.2648306	659.9477137	318.883456	296.2994306	205.305051	492.6276527	1145.360549	696.5074435	224.0112245	1418.265485	867.2194289	237.7018615	65.77761797	3371.628895
CD3D	103.2248459	174.4025802	14396.85632	14916.803	12009.36242	7456.754789	18921.47848	12721.06851	11894.34724	250.8695535	243.8532814	79.18206065	106.1967153	132.5505719
CD3E	1233.172359	756.7993492	5787.182458	3554.437369	6370.192958	2850.795927	2993.594839	5302.45403	1748.883874	461.7145711	342.1231155	225.2808846	195.4486787	276.20651
CD3G	55.98119171	87.6081271	3348.560467	2859.409338	3066.253514	1149.980649	2416.241107	1298.021187	1121.515185	252.9163802	117.4404361	31.97464945	29.83579519	38.2153575
CD4	138.4573773	118.3512664	164.9509326	2495.269425	3710.379943	1725.414846	4363.016183	5524.681644	399.5375472	81.07568775	75.96955929	3343.906153	1340.751384	701.0986434
CD40	1493.347557	1328.267122	203.0571538	119.8051169	168.9573287	169.3131278	129.5124355	338.6601465	269.4014427	164.1619074	204.8063535	298.5733076	1598.408075	4943.303284
CD40LG	65.37231327	51.83259142	186.4853205	464.1789801	852.1721059	660.7418675	809.450384	31.04806788	449.7694466	29.30316525	52.25679554	24.75213495	20.16451827	16.89038862
CD5	482.7709118	212.2007839	947.6570017	1101.084704	1734.374565	918.9690411	1464.692495	3513.782725	508.249512	283.2620394	201.6701633	312.9288878	270.5730739	259.6191632
CD6	75.85653173	91.34978305	1720.140098	738.2321164	3148.85189	2731.999076	1835.581311	2092.360886	342.3979908	623.8033823	348.4243243	90.96996824	96.80906697	90.20058102
CD68	3.286119074	8.41213334	51.10845475	21.15896542	15.76945271	30.90820518	26.97070262	23.8360063	97.22500992	93.83368418	13.92293323	806.3047213	1137.825995	687.7634179
CD69	8246.962733	5037.059721	3798.407191	4397.041606	5489.202469	1071.887678	6081.160743	539.3938343	4572.324665	1781.265844	5471.704926	66.10288756	39.31238934	69.45698718
CD7	15.62904812	17.28012062	2234.707961	2032.402798	1507.773715	1271.833268	2132.53501	7917.977191	415.8325753	1666.682281	2106.83981	20.48373388	27.07256267	22.00857195
CD70	294.6566184	647.9228093	247.6214563	116.5526077	266.2959935	388.2749858	214.2359544	1999.95277	301.4293391	226.6449338	186.4718703	189.6644237	163.5181238	705.6011675
CD72	1434.004736	194.0589782	18.8127059	43.04528298	8.195551244	15.72935292	10.23080265	37.64694269	11.4839684	67.34451995	21.03489045	9.096324111	24.27133459	8.05889839
CD79A	12117.94539	9835.923	425.4456431	183.3771612	161.6033691	97.84605147	437.0541054	424.1217962	196.7666923	149.4947867	139.2030869	174.974517	138.9136781	189.639752
CD79B	5975.189254	4719.84198	229.2346632	284.1304512	341.3861217	192.0177626	425.1070045	863.4669544	277.8145759	364.2599841	254.4761746	158.7986952	61.59710526	72.14957289
CD80	131.2576257	345.1713796	73.52859919	102.0859478	92.39233333	195.416557	109.7080589	392.7464198	196.5982704	163.1921911	139.2568175	148.4294518	596.4318172	4526.24129
CD86	354.7433616	599.8609321	108.8922088	35.145174	95.47693449	90.30112485	29.58459024	176.4166456	341.3536821	110.1384066	87.77041198	1398.4001	1729.206247	4490.947531
CD8A	564.4780916	348.1087905	9990.737125	41.07506248	147.1712529	161.1817391	172.4731305	80.70305906	1127.953469	959.5951565	1190.400365	203.576442	176.6671569	163.4447696
CD8B	21.53089091	18.55930203	3697.963718	143.5770588	16.54639136	12.46145751	118.4547967	12.43551104	108.6995574	20.09303314	16.68319539	14.49443263	14.20160728	13.49794899
CD96	140.0696821	182.4215585	1718.974851	1432.94769	1571.924274	253.7390252	473.0050907	2933.320651	3005.007369	1629.78438	2127.768209	35.69766875	50.26149649	56.78650106
CDA	7.453474496	8.282139574	10.06514533	9.6818797	14.73210587	10.15946955	10.55001689	11.57836151	167.1780478	98.13957615	8.147551977	1040.419935	343.4091893	36.03732383
CDC25A	14.44417944	13.22104832	9.90420085	13.45315049	9.040054131	226.961818	31.42579269	29.61784034	25.27567657	13.26647127	142.2923317	14.74858062	14.79591225	12.77212168
CDH12	10.62580967	18.14764196	7.907398998	7.285693652	8.59290329	20.54473142	9.729238863	130.5611509	197.4542946	27.0789387	9.729238863	9.440421022	33.16857129	23.20574621
