Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
CD19	7315.689158	90.4860579	55.61361754	164.9026221	161.3344231
CD1A	1294.174017	152.5357864	191.4053509	312.0225877	1315.229715
CD1B	1351.157456	152.9052072	192.5532686	198.2817057	2349.595156
CD1C	1349.225244	36.32319474	204.5100438	526.834127	1002.723527
CD1D	243.5748238	16.24955986	10.79075018	2785.253606	51.31081795
CD1E	53.25152761	53.71078497	55.87769713	91.10615096	1421.6131
CD2	419.4350192	6247.906848	9578.936337	222.357789	146.9688776
CD209	68.81156687	42.60499233	16.53368601	84.17376676	228.3870623
CD22	3293.629651	41.94230156	54.37437693	31.15232509	36.801049
CD244	59.70898915	1823.542464	69.11006059	828.4298346	18.38716012
CD247	23.66779296	16099.47966	5318.708728	35.27406041	32.48553108
CD27	388.8197482	196.4705551	4188.175594	136.4091916	111.9872056
CD28	170.6541081	77.96041968	961.774233	79.14901833	66.03630917
CD300A	30.69853755	5340.892712	414.3723032	2187.807203	26.19487356
CD33	25.374709	13.328498	11.69136762	1494.400184	15.47840391
CD37	13247.62405	2090.502205	4287.536344	4508.112105	99.31070429
CD38	588.2648306	1418.265485	205.305051	237.7018615	3371.628895
CD3D	103.2248459	250.8695535	12009.36242	79.18206065	132.5505719
CD3E	1233.172359	461.7145711	6370.192958	225.2808846	276.20651
CD3G	55.98119171	252.9163802	3066.253514	31.97464945	38.2153575
CD4	138.4573773	81.07568775	3710.379943	3343.906153	701.0986434
CD40	1493.347557	164.1619074	168.9573287	298.5733076	4943.303284
CD40LG	65.37231327	29.30316525	852.1721059	24.75213495	16.89038862
CD5	482.7709118	283.2620394	1734.374565	312.9288878	259.6191632
CD6	75.85653173	623.8033823	3148.85189	90.96996824	90.20058102
CD68	3.286119074	93.83368418	15.76945271	806.3047213	687.7634179
CD69	8246.962733	1781.265844	5489.202469	66.10288756	69.45698718
CD7	15.62904812	1666.682281	1507.773715	20.48373388	22.00857195
CD70	294.6566184	226.6449338	266.2959935	189.6644237	705.6011675
CD72	1434.004736	67.34451995	8.195551244	9.096324111	8.05889839
CD79A	12117.94539	149.4947867	161.6033691	174.974517	189.639752
CD79B	5975.189254	364.2599841	341.3861217	158.7986952	72.14957289
CD80	131.2576257	163.1921911	92.39233333	148.4294518	4526.24129
CD86	354.7433616	110.1384066	95.47693449	1398.4001	4490.947531
CD8A	564.4780916	959.5951565	147.1712529	203.576442	163.4447696
CD8B	21.53089091	20.09303314	16.54639136	14.49443263	13.49794899
CD96	140.0696821	1629.78438	1571.924274	35.69766875	56.78650106
CDA	7.453474496	98.13957615	14.73210587	1040.419935	36.03732383
CDC25A	14.44417944	13.26647127	9.040054131	14.74858062	12.77212168
CDH12	10.62580967	27.0789387	8.59290329	9.440421022	23.20574621
CDHR1	15.70334805	237.0997067	12.73061175	10.5027912	8.710620771
CDK6	30.69853755	27.05878945	99.98686977	21.06647043	67.41087913
CEACAM3	68.46140597	189.912654	55.44751849	242.1017704	210.180427
CEACAM8	77.91715796	956.067675	73.7311384	6.650645086	19.05023187
CEMP1	28.85299608	24.7914552	8.245074698	12.41773777	7.792685483
CFP	4.573719127	33.99443636	50.46125007	3702.502521	451.2500358
CHI3L1	9.040054131	344.721706	7.285693652	12.16796964	473.9150298
CHI3L2	574.7325605	322.0390633	312.1882039	200.9927361	210.5699575
CHST15	375.0617962	43.29669296	41.68602369	3334.89402	99.79101855
CHST7	15.2998514	29.82523398	367.4048158	291.0641772	3085.840231
CLC	317.0133169	509.9159527	110.2519917	86.56595204	102.2341069
CLCA3P	17.20651635	4.29075067	2.307902038	2.691185739	0.758567527
CLEC10A	110.2519917	56.08638386	77.30955315	481.4264713	145.4750722
CLEC2D	1012.819733	979.2239401	1711.865828	93.13451585	2002.179445
CLEC4A	270.684059	66.20219764	19.995556	2802.254283	558.9934716
CLEC7A	148.8556127	143.1492688	89.98404196	6165.953009	1178.503785
CLIC2	8.195551244	24.68882499	4.799625554	103.5590934	5239.88349
CMA1	77.95639785	57.33259038	46.6365232	58.76829357	53.12239382
COL8A2	135.2230196	88.02552084	61.77215124	275.8747733	109.1988225
COLQ	28.85299608	406.5670516	135.3256446	33.83180651	20.18679185
